,algo,room,frame,room norm,frame norm,ratio,ratio_norm,ratio norm v2,mem_size
16,"PER (alpha:0.6, beta:0.4)",12.0,1000000000,0.7857142857142857,0.0,1.2e-08,inf,3.6492007541804464e-05,2
17,"PER (alpha:0.6, beta:0.4)",12.0,895971328,0.7857142857142857,0.10402952420986233,1.3393285728000439e-08,7.552800915721169,4.790650980445982e-05,2
18,"PER (alpha:0.6, beta:0.4)",10.0,1000000000,0.6428571428571429,0.0,1e-08,inf,2.0106994714555062e-05,2
19,"PER (alpha:0.6, beta:0.4)",12.0,588091392,0.7857142857142857,0.4119119823829597,2.040499174658894e-08,1.9074810137079172,0.00010534995633219704,4
20,"PER (alpha:0.6, beta:0.4)",6.0,336465920,0.35714285714285715,0.6635395157157127,1.783241524134153e-08,0.5382390176983396,8.427410681341743e-05,4
21,"PER (alpha:0.6, beta:0.4)",13.0,286060544,0.8571428571428571,0.7139453046399356,4.544492511347528e-08,1.2005721608816244,0.00031048977103714857,6
22,"PER (alpha:0.6, beta:0.4)",10.0,294662144,0.6428571428571429,0.7053436341750512,3.39371724655611e-08,0.911409859974152,0.000216212433662705,6
23,"PER (alpha:0.6, beta:0.4)",10.0,220889088,0.6428571428571429,0.7791172945288768,4.5271588970479156e-08,0.8251095789702257,0.0003090697135739399,6
24,"PER (alpha:0.6, beta:0.4)",9.0,253534208,0.5714285714285714,0.7464719070978629,3.5498168357620604e-08,0.7655057959919405,0.0002290009025200443,8
25,"PER (alpha:0.6, beta:0.4)",10.0,315076608,0.6428571428571429,0.6849290029383921,3.173831298831299e-08,0.9385748597288799,0.0001981982632926904,8
26,"PER (alpha:0.6, beta:0.4)",15.0,666537984,1.0,0.33346474774321355,2.25043438784728e-08,2.9988177364104938,0.00012254891213711225,8
27,"PER (alpha:0.6, beta:0.4, B=10^5)",10.0,1000000000,0.6428571428571429,0.0,1e-08,inf,2.0106994714555062e-05,1
28,"PER (alpha:0.6, beta:0.4, B=10^5)",7.0,285630464,0.42857142857142855,0.7143753881631798,2.450718982132102e-08,0.5999246833984333,0.00013895724036939853,1
29,"PER (alpha:0.6, beta:0.4, B=10^5)",8.0,125542400,0.5,0.8744647636153435,6.372349102773247e-08,0.5717783275026713,0.00046023703952156246,1
30,"PER (alpha:0.6, beta:0.4, B=10^5)",9.0,171716608,0.5714285714285714,0.8282901773531328,5.241193676502159e-08,0.6898893492309868,0.0003675670586762397,2
31,"PER (alpha:0.6, beta:0.4, B=10^5)",13.0,1000000000,0.8571428571428571,0.0,1.3e-08,inf,4.4684513955429174e-05,2
32,"PER (alpha:0.6, beta:0.4, B=10^5)",12.0,449376256,0.7857142857142857,0.5506282547466629,2.6703680578975672e-08,1.4269414599433932,0.00015695200498895163,2
33,"PER (alpha:0.6, beta:0.4, B=10^5)",13.0,853651456,0.8571428571428571,0.1463497428970938,1.5228697741481974e-08,5.856811499460982,6.294313449655113e-05,4
34,"PER (alpha:0.6, beta:0.4, B=10^5)",10.0,567848960,0.6428571428571429,0.43215458021032105,1.7610316658852384e-08,1.4875629515352518,8.245456275191812e-05,4
35,"PER (alpha:0.6, beta:0.4, B=10^5)",7.0,590471168,0.42857142857142855,0.409532186887675,1.1854939545498689e-08,1.0464902205329603,3.530359883793916e-05,4
36,"PER (alpha:0.6, beta:0.4, B=10^5)",13.0,726892544,0.8571428571428571,0.27310969331460766,1.7884349079249877e-08,3.138456371650913,8.46995751135657e-05,6
37,"PER (alpha:0.6, beta:0.4, B=10^5)",11.0,1000000000,0.7142857142857143,0.0,1.1e-08,inf,2.8299501128179756e-05,8
38,"PER (alpha:1, beta:0)",12.0,454680576,0.7857142857142857,0.5453238912933175,2.6392154478136316e-08,1.44082131419338,0.0001543998254098137,1
39,"PER (alpha:1, beta:0)",11.0,847515648,0.7142857142857143,0.15248560116204468,1.2979111389811177e-08,4.684283032905193,4.451338388248553e-05,1
40,"PER (alpha:1, beta:0)",10.0,876359680,0.6428571428571429,0.12364133286979884,1.1410839896239864e-08,5.199370857107364,3.1665309613097756e-05,1
41,"PER (alpha:1, beta:0)",10.0,424919040,0.6428571428571429,0.5750856711018177,2.3533894833236938e-08,1.1178458709038612,0.00013098351493717088,2
